name,iso_country,municipality,iata_code
Strayhorn Ranch Airport,US,Fort Myers,
Flying Exotics Airport,US,Weirsdale,
Mayes Airport,US,Carson City,
Everidge Airport,US,Pinehurst,
Westrick Airport,US,Liberty Mills,
Godbee RLA Restricted Landing Area,US,Kempton,
Mann Airport,US,Merom,
Flying Z Ranch Airport,US,Durand,
Maxwell Airport,US,Baldwin City,
B. M. H. Heliport,US,Hardinsburg,
Christus Ochsner St Patrick Hospital Heliport,US,Lake Charles,
Thornton Airport,US,Brownsville,
Devon Glen Heliport,US,Hamilton,
Kenneth Hayward Airport,US,Bay City,
Sons Private-Commercial Airport,US,Norwood,
Cliff Scott Airport,US,Hamilton,
Windemere Airport,US,Fayetteville,
Bryan Lincoln General Hospital Heliport,US,Lincoln,
Metropolitan Electric Heliport,US,Clifton,
Elk Creek Airport,US,Borden,
Chapin Airport,US,Norwalk,
Wadsworth-Rittman Hospital Heliport,US,Wadsworth,
Harman Airport,US,Calumet,
Mc Ranch Airport,US,Adel,
Homan Airport,US,State College,
Bristol Usar Center Heliport,US,Bristol,
Pleasure Field,US,Prosper,
Whites Airport,US,La Ward,
Cabin Pad Heliport,US,Paris,
Hensarling Airport,US,Madisonville,
Armstrong Ranch Airport,US,Armstrong,
Division Five Heliport,US,Chesapeake,
Cub Field,US,Panton,
Fitz Pad 1 Heliport,US,Woodinville,
Oakbrook Airport,US,Fort Atkinson,
Bartos Farm Airport,US,Lubbock,
Pelican Rapids Muni-Lyon's Field,US,Pelican Rapids,
Castle Mountain Airstrip,US,Sutton/Chickaloon,
Rimrock Airport,US,Rimrock,
Huntington Beach Service Center Heliport,US,Westminster,
Grass Valley Service Center Heliport,US,Grass Valley,
Sallaberry Ranch Strip,US,Madera,
Shaull Farm Airstrip,US,Nunn,
Delray Medical Center Emergency Helistop,US,Delray Beach,
Mc Kinnon Airpark,US,Walnut Hill,
Gavagan Field,US,Yale,
Fairview Park Hospital Heliport,US,Dublin,
Cedar Creek Airport,US,Cedarville,
Lake West Wind Airport,US,Godfrey,
123 Arcom Heliport,US,Indianapolis,
P.J. Killian Airport,US,Lexington,
R F Roesner Airport,US,Salina,
Westlake Regional Hospital Heliport,US,Columbia,
Chevron Place Heliport,US,New Orleans,
Rock Cut Farms Airport,US,Leaf River,
Le Champ Airport,US,Princess Anne,
Manju Heliport,US,Dorr,
Lions Emergency Evac Heliport,US,California,
The Landing Zone Heliport,US,Stevensville,
Morrison Field,US,Lexington,
Schirmeister Private Airport,US,Hazelton,
Valley Fire/Rescue Dist & Emerg Service Heliport,US,Valley,
Winter Harbor Seaplane Base,US,Wolfeboro,
Southern Training Center Heliport,US,Salem,
Tennessee Gas Nr 2 Heliport,US,Hamburg,
Dechant Farms Airport,US,Oberlin,
Mansfield Cpc Heliport,US,Mansfield,
Rafter 'R' Ranch Airport,US,Checotah,
Lookingglass Airport,US,Roseburg,
Rocky Hill Ultralightport,US,Cresco,
Veterans Heliport,US,Tower City,
Lifeteam 20 Heliport,US,Wichita,
Bamberger Ranch Airport,US,Johnson City,
Hamlin Memorial Hospital Heliport,US,Hamlin,
4M Ranch Airfield,US,Langtry,
Fox Airport,US,New Braunfels,
Tri-County Aerodrome,US,Trenton,
Gtr Green River Intergalactic Spaceport Airport,US,Green River,
Al's Field,US,Gore,
Cub Cove Seaplane Base,US,Colchester,
West Valley Airport,US,Yakima,
Circle A Ranch Airport,US,Hazelhurst,
Airport Manatee Airport,US,Palmetto,
Maravillas Gap Ranch Airport,US,Marathon,
Piney Pinecreek Border Airport,US,Pinecreek,
Secluded Lake Airport,US,Talkeetna,
Rock Point Airport,US,Rock Point,
Camp Lake Airport,US,Camp Lake,
DCOR Platform Habitat Heliport,US,Carpinteria,
El Peco Ranch Airport,US,Madera,
Rancho Tehama Airport,US,Red Bluff,
Air Dusters Inc Airport,US,Roggen,
Rankin Airport,US,Rankin,
Watson Farm Airport,US,Quincy,
Mike's Ag Air Airport,US,Walnut Hill,
Wend Valley Airport,US,Charlotte,
Southern Regional Medical Center Heliport,US,Riverdale,
Reinoehl Field,US,Lena,
Walnut Creek Airport,US,Somonauk,
Drake Airport,US,Sullivan,
Katherine Shaw Bethea Hospital Heliport,US,Dixon,
Norwich Airport,US,Norwich,
N & N Airport,US,Manhattan,
Morning Star Heliport,US,Lexington,
Woman's Hospital Heliport,US,Baton Rouge,
Decatur Conference Center and Hotel Heliport,US,Decatur,
Empire Terminal Heliport,US,Buras,
Tegethoff Heliport,US,Wayland,
Willow Ridge Airport,US,Hastings,
Hermann Ii Heliport,US,St Louis,
Lufker Airport,US,East Moriches,
Wilkes Regional Medical Center Heliport,US,North Wilkesboro,
Harden Airstrip,US,North Platte,
Bertino Heliport,US,Hammonton,
Westmoreland Airport,US,Shelter Island,
Gilbert Airport,US,Olmsted Falls,
Delaware Operations Heliport,US,Toledo,
Holdenville General Hospital Heliport,US,Holdenville,
Land's Inn Ranch Airport,US,Dayville,
Gap View Airport,US,Stone Church,
Geisinger Heliport,US,Danville,
Babb Airport,US,Babb,
Dallas Cbd Vertiport Heliport,US,Dallas,
Roeder Airport,US,Crosby,
K Star Ranch Airport,US,Brenham,
Sweetwater Fire Department Heliport,US,Sweetwater,
E D S Heliport,US,Plano,
Valley Baptist Medical Center Heliport,US,Harlingen,
Shoshoni Municipal Airport,US,Shoshoni,
Rappahannock General Hospital Heliport,US,Kilmarnnock,
Cougar Mountain Airfield,US,Yelm,
Tri-Center Airport,US,Loganville,
McCasland Ranch Airport,US,Star,
Atmautluak Airport,US,Atmautluak,ATT
Lake Lucille Seaplane Base,US,Wasilla,
South Peninsula Hospital Heliport,US,Homer,
Livengood Camp Airport,US,Livengood,LIV
Niklason Lake Seaplane Base,US,Wasilla,
Inigok Airport,US,Deadhorse,
St John Homestead Airport,US,Wasilla,
Long Lake Airport,US,Long Lake,
Mankomen Lake Airport,US,Mankomen Lake,
Wolf Lake Airport,US,Palmer,
Aleknagik Mission Lodge Airport,US,Aleknagik,
Napaimute Pioneer Airfield,US,Napaimute,
Tibbetts Airport,US,Naknek,
WBRC-Tv Heliport,US,Birmingham,
Tanner East Alabama Heliport,US,Wedowee,
Irwin Farms Airport,US,Foley,
Wallace State College Heliport,US,Hanceville,
Froberg Heliport,US,Hartselle,
Spinelli Field,US,Madison,
Bonner Field,US,Summerdale,
Leon's Landing Airport,US,Flat Rock,
Milton Airport,US,Huntsville,
T W Spear Memorial Airport,US,Lapine,
St Mary's Regional Medical Center Heliport,US,Russellville,
Shurley Field Airport,US,Cabot,
Red Oak Airport,US,Cabot,
Conway Regional Health System Heliport,US,Conway,
Reed-Joseph Land Co. Airport,US,Garland,
Lawrence Field,US,Cherry Valley,
Williams Ranch Airport,US,Caddo Gap,
Worth James Ranch Airport,US,Booneville,
Washington Regional Landing Heliport,US,Fayetteville,
Scudder Airport,US,Jonesboro,
Palm Valley Tucson Airport,US,Tucson,
Moulder Heliport,US,Surprise,
Block Ranch Airport,US,Capitan,
Tonto Ranger Station Heliport,US,Roosevelt,
Fort Omotse Heliport,US,Tombstone,
New Waddell Dam Heliport,US,Phoenix,
Parsons Field,US,Kingman,
San Carlos Airport,US,San Carlos,
The Ultralight Strip Ultralightport,US,Marana,
Leroy Airport,US,Willcox,
South Albany Airport,US,South Bethlehem,
Duanesburg Airport,US,Duanesburg,
Simsbury Airport,US,Simsbury,
Flying U Ranch Airport,US,Union Mills,
Walker/Rowe Waterloo Airport,US,Waterloo,
Yalesville Heliport,US,Yalesville,
Gifford Field,US,Colebrook,
Ackley Municipal Airport,US,Ackley,
Lapd Hooper Heliport,US,Los Angeles,
City National Bank Heliport,US,Los Angeles,
Funny Farm Airport,US,Brentwood,
Camp Parks Heliport,US,Pleasanton,
St Francis Medical Center Helistop,US,Lynwood,
Choc Heliport,US,Orange,
Chevron Refinery Heliport,US,El Segundo,
Johnsen Airport,US,Chico,
Yandell Ranch Airport,US,Modesto,
Randy Champe-Gary Howe Memorial Heliport,US,Los Angeles,
Lyon Heliport,US,Rancho Santa Margarita,
Wolfranch Heliport,US,Temecula,
Antelope Valley Ranch Airport,US,Williams,
Rabbit Ranch Airport,US,Lucerne,
Mercy San Juan Hospital Heliport,US,Carmichael,
Pat Coyle Memorial Heliport,US,San Marcos,
Inyo County Sheriff Search & Rescue Heliport,US,Bishop,
Hanford Community Medical Center Helistop,US,Hanford,
Arrowhead Regional Medical Center Heliport,US,Colton,
Glen-Aspen Airport,US,Carbondale,
Martin Heliport,US,Waterton,
Owl Canyon Gliderport,US,Wellington,
Griffin Field,US,Walsh,
St Anthony North Heliport,US,Westminster,
Pioneers Heliport,US,Meeker,
Lutheran Medical Center Heliport,US,Wheat Ridge,
Ambrosich Field,US,Elbert,
Kelgun Airport,US,Castle Rock,
Beaver Creek Heliport,US,Beaver Creek,
Three Castles Airpark,US,Wonewoc,
Kirila Heliport,US,Brookfield,
Fuller Airport,US,Milford,
Alma Municipal Airport,US,Alma,
Richardton Airport,US,Richardton,
Fort Hancock Heliport,US,Fort Hancock,
Westport Airport,US,Westport,
Tranquility Bay Strip,US,Fort Myers,
Flying 'F' Farms Airport,US,O'Brien,
The Wright Place STOLport,US,Homestead,
Bay Seaplanes Seaplane Base,US,Panama City,
Grand Lagoon Seaplane Base,US,Panama City,
Pine Island Helistop,US,Pine Island Center,
Flanders Field,US,Polk City,
Captiva Heliport,US,Sanibel,
Bowman's Beach Helistop,US,Sanibel,
Turkey Scratch Plantation Airport,US,Lamont,
Escape Ranch Airport,US,Kenansville,
Ko-Kee Airport,US,Bushnell,
Fellsmere Airport,US,Fellsmere,
Darrah Air Park,US,Bell,
Ridge Landing Airport,US,Frostproof,
Royal Trails Airport,US,Cassia,
Physicians Regional Med Ctr-Collier Blvd Heliport,US,Naples,
Schwartz Farms Inc Airport,US,Sarasota,
Gore Airport,US,Haines City,
Pittsburgh-Monroeville Airport,US,Monroeville,
Greenville Municipal Airport,US,Greenville,
Hamburg Inc Airport,US,Hamburg,
Miller Airport,US,Alliance,
Fairmont Municipal-Frankman Field,US,Fairmont,
Pegasus Run Airport,US,Ball Ground,
Thacker Field,US,Concord,
Medical College of Georgia Heliport,US,Augusta,
Memorial Hospital Heliport,US,Bainbridge,
R.M. Harris Airport,US,Eton,
Southwire Heliport,US,Carrollton,
Chattahoochee Air Park,US,Douglasville,
Kitchens Field,US,Griffin,
Andrews Airport,US,Arlington,
Ebeneezer Airport,US,Cumming,
Millhaven Airport,US,Millhaven,
Viola Farm Airport,US,Attapulgus,
Gorden E Bellah International Airport,US,Stockbridge,
Whitehall Airport,US,Montrose,
Schaumburg Municipal Helistop,US,Chicago/Schaumburg,
Greater Community Hospital Heliport,US,Creston,
Ellsworth Municipal Hospital Heliport,US,Iowa Falls,
Walker Field,US,West Liberty,
Floyd County Memorial Hospital Heliport,US,Charles City,
Mccoy Airport,US,Danville,
Iowa Speciality Hospital Heliport,US,Clarion,
Witcombe Field,US,Cedar Falls,
Weiss Airport,US,Williamsburg,
Triple J Airport,US,Dike,
De Ford Airport,US,Delphi,
Hangar Fly Ultralight Fly Club Ultralightport,US,Lawrence,
Oleo Airport,US,Fillmore,
Chesak Airport,US,North Judson,
Escc Heliport,US,Hammond,
Gettlefinger Field,US,Palmyra,
Sport Aircraft Flight Park Ultralightport,US,Thorntown,
Willis Airport,US,Greenfield,
Shultz /Private/ Airport,US,Brookston,
Litchfield West Side Emergency Services Heliport,US,Litchfield,
Wayne Ziller Jr Airport,US,Fairbury,
Thrifty Acres STOLport,US,Stillman Valley (Byron),
Kuebler RLA Restricted Landing Area,US,St Elmo,
Frank's Flying Service Airport,US,Morrison,
Keim Heliport,US,West Chicago,
Brussels Heliport,US,Brussels,
Rendleman Airport,US,Murphysboro,
Unzicker Airport,US,Benson,
Big Long Lake Seaplane Base,US,Kendallville,
Oliver Lake Seaplane Base,US,La Grange,
East Clear Heliport,US,Clear Lake,
Wilson Airport,US,Wallace,
Ball Field,US,Bourbon,
Dragons Den Heliport,US,Danvillle,
Riley Field,US,Attica,
Culp Farms Airport,US,Rensselaer,
Wawasee Airport,US,Syracuse,
Joan Graves Edwards Heliport,US,Anna,
Kamm Airport,US,Atwood,
Memorial Hospital Heliport,US,Chester,
University of Chicago Hospitals Heliport,US,Chicago,
Harrisburg Medical Center Heliport,US,Harrisburg,
Smith Restricted Landing Area,US,Hecker,
Hattan Farms Airport,US,Minonk,
Litchfield RLA Restricted Landing Area,US,Seymour,
Leigh Farm Airport,US,Sparland,
Weidner Airport,US,Bunker Hill,
Pedro Bay Airport,US,Pedro Bay,PDB
Ouzinkie Airport,US,Ouzinkie,KOZ
Tununak Airport,US,Tununak,TNK
Amar Farms Airport,US,Wellsville,
Ingels Aerodrome,US,De Soto,
Police Heliport,US,Wichita,
Thomsen Field,US,Hartford,
Butler Airpark,US,Rose Hill,
Bursch Private Airport,US,Bird City,
Steele's Bottom Airport,US,Warsaw,
J & C Antique Airfield,US,Hardin,
Creek Side Landing Airport,US,Glasgow,
Manchester Memorial Hospital Heliport,US,Manchester,
West Heliport,US,Burlington,
Moseley Field,US,Calhoun,
Weavers Run Airport,US,West Point,
Jennie Stuart Medical Center Heliport,US,Hopkinsville,
Mueller Farm Airport,US,Verona,
Shady Acres Airport,US,Shepherdsville,
King's Daughters Medical Center Heliport,US,Ashland,
Port Sulphur Seaplane Base,US,Port Sulphur,
Chevron Fourchon Heliport,US,Leeville,
Green Hill Compressors Heliport,US,Leeville,
Feliciana Airpark,US,Jackson,
Chevron Usa Inc Heliport,US,Leeville,
La Haye Center Heliport,US,Lafayette,
Little Lake Heliport,US,Lafitte,
West Jefferson Medical Center Heliport,US,Marrero,
Overton Private Airport,US,Clinton,
Blouin Flightpark Ultralightport,US,Raceland,
Ranken Airport,US,Steward,
Staton Airport,US,Steward,
Covenant Medical Center Heliport,US,Champaign,
John L Coppernoll Airport,US,Stockton,
Enjoy Field,US,Chebanse,
Willadae Farms Airport,US,Sycamore,
Colonial Acres Airport,US,Sycamore,
Alan B. Janssen Airport,US,Morrisonville,
Lake Ann Airway Estates Airport,US,Traverse City,
Dermott Municipal Airport,US,Dermott,
Clarendon Municipal Airport,US,Clarendon,
Burke Heliport,US,Sherborn,
Bangs Heliport,US,Wareham,
Dow Jones Heliport,US,Chicopee,
Millbury Savings/West Heliport,US,Millbury,
J K L Heliport,US,New Bedford,
World Trade Center Heliport,US,Boston,
Pleasant Beach Heliport,US,Cohasset,
Ahearn Heliport,US,Ludlow,
Pg Heliport,US,Quincy,
Broad Street Heliport,US,Springfield,
Pier 7 Heliport,US,Baltimore,
Mears Creek Airfield,US,Lusby,
Bunting's Field,US,Berlin,
Ward's Airport,US,Oakland,
Carey Field,US,Bishopville,
Clements Airport,US,Clements,
Phh Heliport,US,Hunt Valley,
Moxley's Airport,US,Dublin,
Catoctin Crosswind Airport,US,Thurmont,
Ijamsville Airport,US,Frederick,
St John Airport,US,Owings Mills,
Lovewell Pond Seaplane Base,US,Fryeburg,
Norway Heliport,US,Norway,
Kriewall Strip,US,Romeo,
Air Rahe Airport,US,Petersburg,
Phil's Field,US,Overisel,
Whitcomb Field,US,Schoolcraft,
Bps Heliport,US,Ruby,
Benedick Airport,US,Three Oaks,
Witbeck Aerodrone Airport,US,Farwell,
Promedica Bixby Hospital Heliport,US,Adrian,
Skalicky Airstrip,US,Albany,
Hintzman Private Airport,US,New York Mills,
Coot Landing Airport,US,Barnsville,
Lexington Heliport,US,Ham Lake,
Mulder Field Inc Airport,US,Ivanhoe,
Kapaun-Wilson Field,US,Graceville,
Sanford Westbrook Clinic Heliport,US,Westbrook,
Burk Airport,US,Amboy,
Myers Field,US,Pequot Lakes,
Montgomery-Wehrman Airport,US,Montgomery City,
Fender J H Airport,US,Kingsville,
Newcomb Hereford Ranch Airport,US,Lancaster,
Schneider Field,US,La Plata,
Liberty Landing Airport,US,Liberty,
Boehne Field,US,Lockwood,
Mark Twain Air Park,US,Louisiana,
Crop Care Airport,US,Mound City,
Martens Airport,US,Atherton,
Friends Field,US,Lone Jack,
Payne Airport,US,Pelahatchie,
Robinsonville Heliport,US,Robinsonville,
Dogwood Acres Airport,US,Raymond,
Jeter Field,US,Sladen,
Spearman Field,US,Shannon,
Bird Nest Airport,US,Lucedale,
University Hospital Heliport,US,Jackson,
Arnold Field,US,Tunica,
Casino Center Heliport,US,Tunica,
Providence Airpark,US,Canton,
Kreikemeier Airport,US,Belgrade,
Big Sky Medical Center Heliport,US,Big Sky,
Boulanger Field Airport,US,Darby,
Newman's Airport,US,Kalamazoo,
Middlesex Valley Airport,US,Middlesex,
Lidgerwood Municipal Airport,US,Lidgerwood,
Greene Airport,US,Greene,
Lindvig Airstrip,US,Williston,
Ring Rock Ranch Airport,US,Williston,
Peterson Airstrip,US,Antler,
Berg Strip,US,Berthold,
Nicks Landing Airport,US,Grenora,
Boyd's Hawks Creek Airport,US,Mocksville,
Futuristics Heliport,US,Milton,
Bay Creek Airport,US,Bayboro,
Taylorsville Airport,US,Taylorsville,
Lowe'S Mooresville Heliport,US,Mooresville,
Triple M Airport,US,Cape Carteret,
Cane Creek Airport,US,Fletcher,
Peacock STOLport,US,Garner,
Buffalo Creek Airport,US,Concord,
Lz Carroll STOLport,US,Gold Hill,
Knutson Airport,US,Thompson,
Pfau Private Airport,US,Upham,
Sanden Airport,US,Wyndmere,
Regier Brothers Airport,US,Madrid,
Mc Millan Ranch Airport,US,Milburn,
Simon Heliport,US,North Platte,
Malone M-Bar Ranch Airport,US,Palisade,
Holzfaster's Airport,US,Paxton,
Windward Farms Airport,US,Rosemont,
Somerset Medical Center Heliport,US,Somerville,
Passaic River Seaplane Base,US,Rutherford,
Seabrook Heliport,US,Salem,
Pse & G Trenton Distribution Helistop,US,Lawrenceville,
Raritan Center Heliport,US,Sayreville,
Vineland Veterans Home Heliport,US,Vineland,
A M Classics Heliport,US,Woodstown,
Peters Airport,US,Somerville,
Mack Trucks Helistop,US,Somerville,
Wca Hospital Heliport,US,Jamestown,
B-Ville Airpark,US,Baldwinsville,
Tracy Field,US,Greenwich,
Evans Airways Airport,US,Evans,
Woodford Airfield,US,Fabius,
Harvs Airport,US,Macedon,
Ag-Alley Airport,US,Marion,
Lightning Tree Farm Heliport,US,Millbrook,
Longwell Airport,US,Amsterdam,
Corporate Park of Staten Island Heliport,US,Staten Island,
Mountain View Airpark,US,Beekmantown,
Orange Poultry Farm Airport,US,Chester,
Edo Seaplane Base,US,College Point,
Greenville Mountain Heliport,US,Port Jervis,
Cross' Farm Airport,US,Delmar,
Bistrians Heliport,US,East Hampton,
Station 237 Heliport,US,Clifton Springs,
Harris Hill Gliderport,US,Elmira,
Belmont Park Heliport,US,Elmont,
Snyder Airport,US,Snyder,
Cherokee Seaplane Base,US,Afton,
Decker Field,US,Meno,
Fairfield Medical Center Heliport,US,Lancaster,
Bowman Airport,US,Piqua,
Black Heliport,US,Tipp City,
Sky Haven Airport,US,Madison,
Bethesda Hospital Helistop,US,Zanesville,
Bieber Field,US,North Lima,
Millertime Airport,US,Orient,
St Thomas Hospital Heliport,US,Akron,
Wingfoot Lake Airship Operations Balloonport,US,Akron Suffield,
Holzer Heliport,US,Gallipolis,
Huffman Farm Airport,US,Archbold,
Bellevue Hospital Heliport,US,Bellevue,
Flower Hospital Heliport,US,Sylvania,
Petro Heliport,US,Zanesville,
Horizons Heliport,US,Cincinnati,
Riverside Hospital Heliport,US,Toledo,
R & M Aviation Airport,US,Avon,
Brocker Field,US,Canfield,
Baisden Airport,US,Coalton,
Zevely Climbing Zz Ranch Airport,US,Seminole,
Hatton Ranch Airport,US,Talihina,
Candy Lake Estate Airport,US,Avant,
St Francis Hospital Heliport,US,Tulsa,
Low Pass Airport,US,Tuttle,
Newman Farm Airport,US,Velma,
Pitts Field,US,Wanette,
Flying A Ranch Airport,US,Washington,
Austin Airport,US,Wilburton,
Hsi Heliport,US,Cushing,
Jerry-Wright Airfield,US,Lawton,
Springbrook Airport,US,Rogue River,
McNary ARNG Field Heliport,US,Salem,
South Hill Heliport,US,Salem,
Lambert Field,US,Albany,
Schrock Airport,US,Corvallis,
Fly 'N' W Airport,US,Salem,
Auberge Des Fleurs Airport,US,Sandy,
Lusardi Field,US,Salem,
Wagoner Airport,US,Salem,
Peace Harbor Hospital Heliport,US,Florence,
Old Portage Heliport,US,Akron,
Franks Seaplane Base,US,Lac Du Flambeau,
Millard Airport,US,Annville,
Sauers-Haven Airport,US,New Berlin,
Warner-Lambert Heliport,US,Lititz,
Frymoyer Airport,US,Liverpool,
UPMC Susquehanna Lock Haven Heliport,US,Lock Haven,
Ponderosa Airport,US,Lock Haven,
Hiawatha Airport,US,Starlight,
Sheepshead Airport,US,Lykens,
Russo Airstrip,US,Pipersville,
Macungie Mack Heliport,US,Macungie,
Flying M Ranch Airport,US,Grove City,
Mcs-Pad Heliport,US,Charleston,
Gallatin Fuel Heliport,US,Masontown,
Muddy Run Heliport,US,Holtwood,
Brigham Heliport,US,Erwinna,
Williams Grove Heliport,US,Mechanicsburg,
Merritt Field,US,Eagles Mere,
C.J.K. Airport,US,Tunkhannock,
Glenn's Helo Heliport,US,Birdsboro,
Altoona Regional Health System-Bon Secours Cam Heliport,US,Altoona,
Paraport Ultralight Flightpark,US,Warren,
Mountain Top Airport,US,Thompson,
Muddy Creek Airport,US,Carmicheal,
Krout Airport,US,Lewistown,
Cohen Airport,US,Oxford,
Coatesville Heliport,US,Coatesville,
Ferrante Heliport,US,Vandergrift,
Milnor Municipal Airport,US,Milnor,
Skyport Airport,US,Cornelius,
St Thomas Municipal Airport,US,St Thomas,
Tieton State Airport,US,Rimrock,
Malin Airport,US,Malin,
Davis Field,US,Liberty,
Wexford Landing Airport,US,Aiken,
Dan's Airport,US,Rapid City,
Little C Ranch Heliport,US,Hico,
Massimiliano Memorial Field,US,Damon,
Warschun Ranch Airport,US,Denton,
Costello Island, Inc Airport,US,Graham,
Pea Patch Airport,US,Hempstead,
Lucky G Airport,US,Holliday,
Comanche Caves Ranch Airport,US,Hunt,
Oak Ridge Heliport,US,Ingleside,
Perry Ranch Airport,US,Ozona,
Swinging Door Heliport,US,Richmond,
Lone Star Steel Company Airport,US,Lone Star,
Figure 1 Ranch Airport,US,Booker,
Lewis Private Airport,US,Del Rio,
Finley Ranch Airport,US,Claude,
Taurus Mesa Airport,US,Alpine,
Dell City Heliport,US,Dell City,
Jamison Airstrip,US,Dayton,
Devil's River Ranch Airport,US,Del Rio,
Ben Bruce Memorial Airpark,US,Evadale,EVA
Squirrel Creek Ranch Airport,US,D'Hanis,
Melton Field,US,Blaine,
TGP Station 555 Heliport,US,Collinwood,
Buck Creek Ranch Airport,US,Crossville,
Hawks Nest Airport,US,Moscow,
Cotton Field,US,Eads,
TGP Station 860 Heliport,US,Fairfield,
Lincoln Regional Hospital Heliport,US,Fayetteville,
Bmh-H Heliport,US,Huntingdon,
Rgnl Hospital of Jackson Heliport,US,Jackson,
Southfork Airport,US,Jackson,
First City Financial Center Heliport,US,Houston,
Pin Oak Stables Heliport,US,Houston,
Wilshire Place Heliport,US,Houston,
Palestine Regional Medical Center Heliport,US,Palestine,
Palm Petroleum Corporation Heliport,US,Houston,
Goebel Field,US,Mountain Home,
State Police Heliport,US,Jersey Village,
Allison Ranch Airport,US,Fort Stockton,
Glasscock Field,US,D'Hanis,
Ossiport Heliport,US,Austin,
Slack Airport,US,Mont Belvieu,
Abilene Regional Medical Center Heliport,US,Abilene,
Stage Coach Hills Airport,US,Keller,
Forest Hill Airport,US,Petty,
Birk Airport,US,Kennedale,
Hancock Airport,US,Kerens,
Kilgore Airport,US,Kilgore,
Oliver Airport,US,Knox City,
Addington Field,US,Krum,
Medical Center Hospital Heliport,US,San Antonio,
Maddox Ranch Co Airport,US,Chinook,
West Fork Lodge Airport,US,Conner,
Morrison Flight Park Ultralightport,US,Linton,
Hay Springs Municipal Airport,US,Hay Springs,
Mount Snow Airport,US,West Dover,
Wood Farm Airport,US,Wingina,
Davis Field,US,Martinsville,
Potomac Hospital Helistop,US,Woodbridge,
Flying W Airport,US,Richmond,
Hepner Airport,US,Woodstock,
Starr Airport,US,Arrington,
Taylor Airport,US,Atlantic,
United Coal Heliport,US,Grundy,
Christian's Airport,US,Richmond,
Pleasantdale Field,US,Rixeyville,
Cool Water Airport,US,Ashland,
Bandera State Airport,US,Bandera,
Whitfield Farms Airport,US,Hurdle Mills,
Blaine Municipal Airport,US,Blaine,
Hurdle Field,US,Mebane,
Elma Municipal Airport,US,Elma,
Pink Hill Airport,US,Pink Hill,
B & G Farms Airport,US,Royal City,
Brown's Cape Horn Airport,US,Skamania,
Cricket Field,US,Little Rock,
St John's Medical Center Heliport,US,Longview,
Windsock Airport,US,Lopez,
Hille-Kimp Airstrip,US,Kahlotus,
Mark Reed Hospital Heliport,US,Mc Cleary,
Riverside Airport,US,Deming,
Port Orchard Airport,US,Port Orchard,
Wissota Airport,US,Chippewa Falls,
Bancroft East Airport,US,Rio,
Island View Airport,US,Crandon,
Neveln Field,US,Crivitz,
Turner Airport,US,Tomahawk,
Carlson Airport,US,Eau Claire,
Feldmann Field,US,Sheboygan Falls,
Carhart Farms Airport,US,Galesville,
Mar-O-Dae Farm Airport,US,Glenwood City,
Swensen Airport,US,Vesper,
Lakewood Airpark,US,Lakewood,
River Ridge Aero Estates Airport,US,Holcombe,
David Randall Airport,US,Balsam Lake,
Bay Area Medical Center Heliport,US,Marinette,
Aegis Heliport,US,Green Bay,
Lynn Louise Heliport,US,Dousman,
Digger Dougs Airport,US,Salem,
Heaven's Landing Airstrip,US,Medley,
Card Airfield,US,Kenedy,
Owen Field,US,Clyde,
Apache Pass Airport,US,Rockdale,
4-Shipp Airport,US,Burkburnett,
Medical Center Of Southeast Texas Heliport,US,Port Arthur,
Baylor Health Center At Irving Coppell Heliport,US,Irving,
Winkler County Memorial Hospital Heliport,US,Kermit,
Pfeffer & Son Farms Airport,US,Waller,
Coyote Field,US,Corsicana,
Teate Field,US,Paradise,
Columbia Lakes Heliport,US,West Columbia,
Baylor Scott & White Medical Center - Carrollton Heliport,US,Carrollton,
Scrappin Valley Airport,US,Wiergate,
H Young Ranch Airport,US,Willow City,
Winn Ranch Airport,US,Wimberley,
Garnett Ranch Airport,US,Wimberley,
Raether Airport,US,Howell,
Para Field,US,Yale,
Eagles Landing Airport,US,Harrietta,
Upper Hannum Creek Airport,US,Hannum Creek,
Horsfeld Airport,US,Horsfeld,
Hyder Seaplane Base,US,Hyder,WHD
Jakolof Bay Airport,US,Jakolof Bay,
Robin'S Landing,US,Point Mackenzie,
Perdido Beach VFD Heliport,US,Perdido Beach,
Yell County Hospital Heliport,US,Danville,
Rocky Ridge Airport,US,Rocky Ridge,
St Mary Medical Center Heliport,US,Long Beach,
L A Co Sheriff Lakewood Heliport,US,Lakewood,
William T Browder Heliport,US,Fort Collins,
Cattle Creek Ranch Airport,US,Altha,
Odom's Flying Service Airport,US,Jay,
Howard Nixon Memorial Airport,US,Chesaning,
Mallory Field,US,Valdosta,
Way West Airport,US,Bainbridge,
Midland Airport,US,Antioch,
Austin Air Ads Airport,US,Farmersburg,
Memorial Heliport,US,Freeport,
Pawnee City Municipal Airport,US,Pawnee City,
Grandpa's Farm Airport,US,Pratt,
Zanzibar Farm Airport,US,Paris,
LA State Police Troop C Heliport,US,Thibodaux,
Livingston Parish Air Support Heliport,US,Satsuma,
Puckett Gliderport,US,Eagleville,
Queen Anne ER Heliport,US,Grasonville,
Burgess Lake Seaplane Base,US,Greenville,
Zimmerman Airport,US,Herman,
Ozarks Medical Center Heliport,US,West Plains,
Merit Health Wesley Heliport,US,Hattiesburg,
Ervin Airfield,US,Kannapolis,
Elge Field,US,Aurora,
Express Marine Heliport,US,Camden,
